ID,name,category,price_tear,neighborhood,open_hour,close_hour,avg_rating,forKids
1,Khichdi Etc,Brasserie and Bistro,cheap,Washington Height,01:00,20:00,4,1
2,The Sugar Fairy,Chinese,medium,Prospect Heights,00:00,16:00,2,0
3,Lijjat Khaman,Lebanese,expensive,Lower East Side,08:00,23:00,5,0
4,Empire Restaurant,Indian,cheap,Midtown East,03:00,16:00,4,0
5,Bharat Krishna Bakery,Ethnic,medium,Canarsie,00:00,15:00,1,1
6,R Kitchen - Renaissance Hotel,Destination Restaurant,expensive,Hell's Kitchen,10:00,17:00,5,1
7,Rajkamal Bakery,Turkish,cheap,East Harlem,11:00,12:00,4,1
8,Yanki Sizzlers,Destination Restaurant,medium,Prospect Heights,02:00,13:00,2,1
9,Dhoom Dhaam,Pakistani,expensive,Hamilton Heights,10:00,20:00,2,0
10,Nanjing,Buffet,medium,Flatbush,02:00,16:00,3,1
11,Dolci Desserts,Pakistani,medium,Lower Manhattan,01:00,17:00,5,1
12,Shri Jay Jalaram Khaman House,Coffee,medium,Gramercy Park,03:00,19:00,1,1
13,Burgrill,Fine Dining,medium,Red Hook,06:00,14:00,4,1
14,Amnesia - Aarya Grand,Brasserie and Bistro,cheap,Lower Manhattan,03:00,12:00,2,1
15,M Cafe - Bengaluru Marriott Hotel Whitefield,Cafe,cheap,Flushing,11:00,23:00,1,0
16,All The Perks Espresso Cafe,Tabletop cooking,medium,Upper East Side,04:00,20:00,5,0
17,Dangee Dums Yums,Buffet,medium,Prospect Heights,02:00,13:00,4,1
18,Shiro,Continental,expensive,Union Square,04:00,20:00,4,1
19,Fire Station,Continental,cheap,Long Island City,03:00,12:00,1,1
20,JW Kitchen - JW Marriott Bengaluru,Premium Casual,medium,Canarsie,08:00,20:00,4,0
21,The Blue Wagon - Kitchen,Destination Restaurant,medium,Financial District,07:00,23:00,5,0
22,Ranganna Military Hotel,Pakistani,cheap,Red Hook,01:00,15:00,3,1
23,JW Kitchen - JW Marriott Bengaluru,Brasserie and Bistro,medium,Lower Manhattan,00:00,19:00,2,1
24,Stoner,Buffet,cheap,Bushwick,05:00,18:00,1,1
25,Vanilla The Cake Shop,Fine Dining,medium,Inwood,05:00,16:00,2,0
26,70 Degrees East,Chinese,cheap,Nolita,06:00,12:00,3,1
27,Nini's Kitchen,Pakistani,medium,Union Square,05:00,18:00,1,1
28,Bhookh Lagi Hai,Destination Restaurant,medium,East Village,10:00,16:00,2,0
29,Tea Villa Cafe,Fast Food,medium,Flatbush,00:00,12:00,5,0
30,The Chocolate Heaven,Lebanese,medium,Murray Hill,01:00,17:00,2,0
31,Little French House,Ethnic,cheap,Dumbo,04:00,23:00,5,1
32,Massala Theoryy,Chinese,cheap,Long Island City,04:00,17:00,2,1
33,O Chicken India -  Oil Free Healthy Chicken,Italian,cheap,Gramercy Park,01:00,12:00,1,0
34,Midnight Cakery,Cafe,expensive,Nolita,07:00,00:00,3,0
35,Little French House,Fast Food,medium,Midtown East,09:00,19:00,2,1
